a values/b values,0.9,0.95,1.0,1.05,1.1
2.5,0.0742719083179737,0.06289028192837498,0.0532034119192738,0.044973513655636954,0.03799182904584908
2.75,0.12823830079275678,0.10908713290311511,0.09264435886348499,0.07857141756193187,0.06655865572240904
3.0,0.21655357319691726,0.18568562451668424,0.15876754165715212,0.13542539750392013,0.11527956564886077
3.25,0.3520898149699707,0.30599833555037637,0.2646778664287923,0.22800288893448362,0.19572370105613834
3.5,0.5378237442605653,0.4777416008842226,0.42116685154232547,0.3688324884878821,0.32113900186660516
3.75,0.7465495352497176,0.6850132557544957,0.6217900874745013,0.5588496083475263,0.4978320587779447
4.0,0.912938732952427,0.8718463032757686,0.8225705499612279,0.7666920969540415,0.7062397176388654
4.25,0.9869893161339809,0.9741176020548197,0.9538309494548093,0.9248627369071196,0.8868018833356481
4.5,0.9995580294541444,0.9984970168108772,0.9957909117727405,0.9899886420438951,0.9792444988468757
4.75,0.9999989273994976,0.9999905178100833,0.9999406979293385,0.9997227637326846,0.9989852639862951
5.0,0.999999999976485,0.9999999988564265,0.9999999700241855,0.9999995325396924,0.9999952884087362
5.25,1.0,0.9999999999999999,0.9999999999999601,0.9999999999946507,0.9999999996711707
5.5,1.0,1.0,1.0,1.0,1.0
5.75,1.0,1.0,1.0,1.0,1.0
6.0,1.0,1.0,1.0,1.0,1.0
6.25,1.0,1.0,1.0,1.0,1.0
